,A,Z,W
78,1840023301,1840023419,2
79,1840023419,1840023406,2
80,1840023421,1840023415,2
81,1840023406,1840023415,2
82,1840023415,1840023417,2
83,1840023417,1840023385,4
84,1840075080,1840023371,2
85,1840023681,1840023662,2
86,1840023371,1840023662,2
87,1840023662,1840037578,2
88,1840037578,1840023379,2
89,1840023654,1840023379,2
90,1840023379,1840023385,4
91,1840023385,1840075179,2
92,1840075179,1840023462,2
93,1840023462,1840075181,2
94,1840075181,1840023463,2
95,1840023463,1840023690,2
96,1840075216,1840023690,2
97,1840023690,1124348186,4
98,1840023319,1840023306,2
99,1124348186,1840023306,4
100,1840023306,1840023270,2
101,1840023270,1124847707,4
102,1124847707,1124198272,2
103,1124198272,1124878479,2
104,1124878479,1124191574,2
105,1124191574,1124324905,2
106,1124851971,1124324905,2
107,1124324905,1124788300,2
108,1124788300,1124154376,2
109,1124952808,1124822520,2
110,1124154376,1124822520,2
111,1124822520,1124698963,2
112,1124698963,1840020057,4
113,1840018677,1840018707,2
114,1840020057,1840018653,2
115,1840018653,1840009558,2
116,1840018707,1840009422,2
117,1840009558,1840018716,2
118,1840019849,1840021183,2
119,1840009553,1840018716,2
120,1840018716,1840020189,2
121,1840020008,1840018581,2
122,1840017485,1840009422,2
123,1840009422,1840020253,2
124,1840019975,1840019974,2
125,1840019974,1840019956,2
126,1124623893,1840021183,4
127,1840021183,1124034713,4
128,1840021182,1840019847,2
129,1840019845,1840018504,2
130,1840021203,1840018589,2
131,1124872385,1124845591,2
132,1840018446,1124095065,4
133,1840018504,1840034830,2
134,1840020189,1840020220,2
135,1124845591,1124000949,2
136,1124001362,1124005958,2
137,1124034713,1124000395,2
138,1124000052,1124316061,2
139,1124316061,1124990218,2
140,1840019847,1840018611,2
141,1124095065,1124000395,2
142,1124000395,1124001985,2
143,1840019782,1840020087,2
144,1124001985,1124000779,2
145,1840021275,1840021264,2
146,1124000779,1124421362,2
147,1124990218,1124000519,2
148,1124421362,1840021220,4
149,1840021220,1840019971,2
150,1840017439,1840020087,2
151,1124000519,1124000949,2
152,1124000949,1124147219,4
153,1124147219,1840019998,4
154,1840019998,1840018611,2
155,1840020034,1840074590,2
156,1840021264,1840018557,2
157,1840021421,1840020242,2
158,1840020087,1840020261,2
159,1840021274,1840018611,2
160,1124761730,1840018589,4
161,1840018590,1840019971,2
162,1840074590,1840034726,2
163,1840018611,1840018625,2
164,1840019971,1840018589,2
165,1840021420,1840020220,2
166,1840018623,1840018624,2
167,1840018589,1840018471,2
168,1840019956,1840034833,2
169,1124001824,1124825478,4
170,1124005958,1124825478,4
171,1124121940,1840020007,6
172,1840020007,1840019932,2
173,1840021123,1840019991,2
174,1840019930,1840018625,2
175,1124825478,1840018624,4
176,1840018605,1840017414,2
177,1840021076,1124196524,4
178,1124001200,1840018581,4
179,1840018624,1840018625,2
180,1840018557,1840019991,2
181,1840021224,1840018471,2
182,1840018581,1840034722,2
183,1840018625,1840034726,2
184,1840018838,1840021489,2
185,1124000146,1840021263,4
186,1840021263,1840019949,2
187,1840034726,1840034722,2
188,1840034722,1840074715,2
189,1840018471,1840019904,2
190,1124817304,1840019904,4
191,1840018472,1840018672,2
192,1840019904,1840021186,2
193,1840019957,1840034830,2
194,1124001562,1124196524,2
195,1840019932,1840034833,2
196,1840020220,1840020260,2
197,1840021145,1840019865,4
198,1124196524,1840018672,4
199,1840018672,1840074293,2
200,1840019991,1840019941,4
201,1840019865,1840019866,2
202,1840018503,1840018410,4
203,1840021186,1840021185,2
204,1840034833,1840034830,2
205,1840017414,1840018556,2
206,1840020242,1840018840,2
207,1840021230,1840018554,2
208,1840020076,1840021300,2
209,1124001454,1840040416,4
210,1840021205,1840021219,2
211,1840034830,1840034671,2
212,1840034671,1840034678,2
213,1840018673,1840021488,4
214,1840040416,1840021300,2
215,1124252668,1840021185,4
216,1840021489,1840028139,2
217,1840018556,1840034716,2
218,1840021185,1840018410,4
219,1840022484,1840021488,4
220,1840034716,1840074715,2
221,1124260555,1840019797,4
222,1840018676,1840020244,2
223,1840034678,1840034810,2
224,1840021227,1840018554,2
225,1840019866,1840021300,2
226,1124000500,1840021206,4
227,1840019797,1840037495,2
228,1840021206,1840073958,2
229,1124473757,1840074715,4
230,1840037899,1840019941,4
231,1840021226,1840021129,4
232,1840021300,1840020259,2
233,1840021207,1840018569,2
234,1840018554,1840034810,2
235,1840021219,1840019821,2
236,1840074715,1840034810,2
237,1840073958,1840034810,2
238,1840034810,1840037873,2
239,1840017289,1840018347,2
240,1840074293,1840021488,4
241,1840021181,1840021253,2
242,1124733292,1840018347,4
243,1840018347,1840021218,2
244,1840036750,1840037662,2
245,1840018410,1840018406,2
246,1840037495,1840018674,2
247,1840018840,1840028139,2
248,1840021488,1840028139,2
249,1840019909,1840021320,2
250,1840021253,1840020106,2
251,1840019955,1840037858,2
252,1840018674,1840022519,2
253,1840020243,1840021516,2
254,1840037873,1840019821,2
255,1840018569,1840017336,2
256,1124786902,1840019822,4
257,1840018406,1840018408,2
258,1840018520,1840037662,2
259,1840019821,1840018518,2
260,1840037662,1840037838,2
261,1840018408,1840017336,2
262,1840019941,1840018518,2
263,1840018457,1840042007,2
264,1840019822,1840019953,2
265,1840021218,1840017397,2
266,1840037617,1840019855,2
267,1840018568,1840017397,2
268,1840019779,1124000480,4
269,1840028139,1840017603,2
270,1840037858,1840017397,2
271,1840021320,1840020209,2
272,1840018366,1840018451,2
273,1840020244,1840017572,2
274,1840021146,1840021130,2
275,1840019952,1840022309,2
276,1840018518,1840042007,2
277,1840037838,1840037518,2
278,1840017419,1840019954,2
279,1840017397,1840017336,2
280,1124001699,1840019855,4
281,1840037518,1840073933,2
282,1840021189,1840073933,2
283,1840042007,1840017336,2
284,1840019855,1840037569,2
285,1840021516,1840022520,2
286,1840034837,1840019949,2
287,1840022309,1840019854,2
288,1840019949,1840019954,2
289,1840019954,1840018414,2
290,1840019751,1840019854,2
291,1840019953,1840019852,2
292,1124000480,1840019860,4
293,1840018835,1840021486,2
294,1840023843,1840019854,2
295,1840073922,1840020260,2
296,1840037869,1840018519,2
297,1840022520,1840017603,2
298,1840037569,1840037492,2
299,1840073933,1840019860,2
300,1840020260,1840021513,2
301,1840017336,1840018409,2
302,1840017549,1840021486,2
303,1840017603,1840020261,2
304,1840021130,1840019854,2
305,1840018409,1840021117,4
306,1840020259,1840022519,2
307,1840018523,1840017399,2
308,1840074828,1840136945,2
309,1840020261,1840022519,2
310,1840018519,1840017399,2
311,1840019860,1840018524,2
312,1840021513,1840022519,2
313,1840019854,1840018571,2
314,1840022519,1840136945,2
315,1840136945,1840021514,2
316,1840019950,1840018453,2
317,1840021514,1840022521,2
318,1124028015,1840018414,4
319,1840017572,1840021490,2
320,1840017399,1840021209,2
321,1840017623,1840018926,2
322,1840020307,1840021549,2
323,1840018414,1840019832,2
324,1840037492,1840037727,2
325,1840018346,1840037551,2
326,1840018926,1840021552,2
327,1840021486,1840021490,2
328,1840017624,1840020303,2
329,1840022521,1840021551,2
330,1840021490,1840020281,2
331,1840019752,1840021118,2
332,1840021129,1840037889,2
333,1840018571,1840019939,2
334,1840021543,1840021552,2
335,1840019939,1840019938,2
336,1840019938,1840021209,2
337,1840020303,1840020277,2
338,1840018453,1840018452,2
339,1840021549,1840021552,2
340,1840018524,1840042106,2
341,1840018451,1840037551,2
342,1840021552,1840020306,2
343,1840018452,1840018456,2
344,1840020306,1840021554,2
345,1840021209,1840042106,2
346,1840041920,1840042106,2
347,1840021349,1840018925,2
348,1840037889,1840019853,2
349,1840037546,1840037551,2
350,1840018925,1840021529,2
351,1840020141,1840028315,2
352,1840018456,1840042106,2
353,1840037551,1840042106,2
354,1840021554,1840020275,2
355,1840037645,1124502601,4
356,1840019853,1840019857,2
357,1840037727,1840018420,2
358,1840042106,1840019852,2
359,1840037740,1840041906,2
360,1840021190,1840018423,2
361,1840019832,1840019788,2
362,1840021118,1840021116,2
363,1840021529,1840020277,2
364,1840021079,1840037898,2
365,1840018420,1840019788,2
366,1840020277,1840028140,2
367,1840019826,1840074270,2
368,1840019948,1840018454,2
369,1840018367,1840019774,2
370,1840021117,1840021066,2
371,1840028315,1840018914,2
372,1124808029,1124502601,2
373,1840018426,1840019788,2
374,1840019857,1840037886,2
375,1840020106,1840028140,2
376,1840021551,1840022548,2
377,1840019774,1840037875,2
378,1124502601,1840041913,4
379,1840037897,1840037895,2
380,1840019792,1840018379,2
381,1840019793,1840017323,2
382,1840019788,1840021217,2
383,1840020275,1840018914,2
384,1840028140,1840018914,2
385,1840020241,1840020276,2
386,1840021116,1840021120,2
387,1840018924,1840018913,2
388,1840018733,1840020281,2
389,1840020291,1840018914,2
390,1840019859,1840019852,2
391,1840019837,1840019834,2
392,1840037886,1840019858,2
393,1840020281,1840020276,2
394,1840019852,1840021128,2
395,1840074270,1840019834,2
396,1840074254,1840018416,2
397,1840017613,1840018914,2
398,1840037895,1840017323,2
399,1840018914,1840020304,2
400,1840017365,1840019858,2
401,1840018379,1840021217,2
402,1840021120,1840037012,2
403,1840021217,1840019817,2
404,1840021550,1840020296,4
405,1840018913,1840028325,2
406,1840017323,1840041906,2
407,1840020302,1840020296,4
408,1840037894,1840037875,2
409,1840022548,1840021438,2
410,1840018834,1840020297,2
411,1840020276,1840018900,2
412,1840018900,1840020297,2
413,1840019834,1840021128,2
414,1840018423,1840018419,2
415,1840020176,1840020304,2
416,1840037012,1840019827,2
417,1840041906,1840041892,2
418,1840021499,1840018858,2
419,1840021128,1840041971,2
420,1840037875,1840019790,2
421,1840021066,1840018378,2
422,1840019830,1840019831,2
423,1840020297,1840020296,4
424,1840020304,1840028325,2
425,1840020296,1840020284,2
426,1840018424,1840037517,2
427,1840019858,1840037882,2
428,1840018416,1840041971,2
429,1840019836,1840018425,2
430,1840018419,1840041892,2
431,1840019790,1840041996,2
432,1840028325,1840020308,2
433,1840020308,1840018858,2
434,1840021438,1840020209,2
435,1840019827,1840037517,2
436,1840041996,1840041892,2
437,1840020209,1840018762,2
438,1840041892,1840074253,2
439,1840018762,1840020301,2
440,1840139116,1840037898,2
441,1840020280,1840020284,2
442,1840018454,1840037882,2
443,1840041971,1840037882,2
444,1840028400,1840020333,2
445,1840020305,1840020301,2
446,1840019785,1840019794,2
447,1840019831,1840018417,2
448,1840021538,1840017619,2
449,1840019789,1840037866,2
450,1840018417,1840019828,2
451,1840018858,1840020278,2
452,1840037898,1840074253,2
453,1840021121,1840041913,2
454,1840020333,1840021574,2
455,1840018378,1124531262,4
456,1840037517,1840037848,2
457,1840037882,1840017344,2
458,1840021574,1840020328,2
459,1840021460,1840018810,2
460,1124821980,1840017326,4
461,1840020301,1840020332,2
462,1840018912,1840017619,2
463,1840022538,1840020284,2
464,1840020284,1840024710,2
465,1840019835,1840074663,2
466,1840020278,1840020283,2
467,1840017619,1840028361,2
468,1840018425,1840074253,2
469,1840017326,1840037848,2
470,1840028361,1840017620,2
471,1840074253,1840019828,2
472,1840021078,1840041913,2
473,1840020328,1840020332,2
474,1840019794,1840041913,2
475,1840017649,1840021580,2
476,1840037866,1840018422,2
477,1840020332,1840021573,2
478,1840020293,1840028375,2
479,1840024710,1840021531,2
480,1840020283,1840028422,2
481,1840037848,1840018427,2
482,1840041913,1840019787,2
483,1840017620,1840028375,2
484,1840028422,1840021531,2
485,1840028375,1840021539,2
486,1840018422,1840021115,2
487,1840018950,1840021572,2
488,1840021115,1840074663,2
489,1840021531,1840017609,2
490,1840019828,1840017344,2
491,1840021579,1840028200,2
492,1840020253,1840028115,2
493,1840020295,1840020292,4
494,1840074663,1840018427,2
495,1840021572,1840018949,2
496,1840021573,1840021571,2
497,1840018455,1840019825,2
498,1840021539,1840020292,4
499,1840017609,1840021532,2
500,1840018810,1840017653,2
501,1840021580,1840144061,2
502,1840028115,1840021498,2
503,1840018905,1840018901,2
504,1840017344,1840021119,2
505,1840019825,1840019833,2
506,1840028200,1840074532,2
507,1840020292,1840020329,2
508,1840019791,1840037864,2
509,1840144061,1840018959,2
510,1840021484,1840018859,2
511,1840018427,1840037864,2
512,1840074532,1840018959,2
513,1840019787,1840037864,2
514,1840021532,1840028358,2
515,1840021571,1840018949,2
516,1840021498,1840018859,2
517,1840028316,1840020282,2
518,1840021575,1840018949,2
519,1840018959,1840018957,2
520,1840018949,1840021570,4
521,1124531262,1840019833,4
522,1840018957,1840017648,2
523,1840021530,1840018916,2
524,1840018901,1840020282,2
525,1840020359,1840020358,2
526,1840028358,1840018916,2
527,1840037864,1840021080,2
528,1840020282,1840018903,4
529,1840018916,1840020298,2
530,1840017648,1840028179,2
531,1840020329,1840018903,4
532,1840020358,1840021634,2
533,1840028179,1840042938,2
534,1840020298,1840017682,2
535,1840021570,1840017638,2
536,1840021119,1840020054,2
537,1840018859,1840017682,2
538,1840017638,1840018903,4
539,1840021634,1840021581,2
540,1840018778,1840018903,4
541,1840028369,1840018780,2
542,1840021080,1840020054,2
543,1840018903,1840020181,2
544,1840020357,1840021485,2
545,1840018775,1840019020,2
546,1840020054,1840042938,2
547,1840019833,1840021212,2
548,1840021581,1840017653,2
549,1840020294,1840074539,2
550,1840042938,1840018833,2
551,1840017682,1840020331,2
552,1840021485,1840018833,2
553,1124001999,1840019942,4
554,1840018833,1840026768,2
555,1840017653,1840021483,2
556,1840017440,1840020254,2
557,1840018904,1840020279,2
558,1840020254,1840020279,2
559,1840020181,1840020331,2
560,1840020279,1840018897,2
561,1840019020,1840021632,2
562,1840020331,1840024456,2
563,1840021463,1840020327,2
564,1840021632,1840018844,2
565,1840018780,1840020327,2
566,1840017530,1840022428,2
567,1840018897,1840026768,2
568,1840022428,1840020327,2
569,1840018948,1840020327,2
570,1840020327,1840018841,2
571,1840020219,1840018800,2
572,1840020182,1840074539,2
573,1840024456,1840018801,2
574,1840018801,1840018800,2
575,1840021483,1840021491,4
576,1840026768,1840021518,2
577,1840018800,1840020265,2
578,1840019942,1840020003,2
579,1840018777,1840074539,2
580,1840074539,1840018842,2
581,1840021491,1840075898,2
582,1840075922,1840075898,2
583,1840075898,1840024628,2
584,1840021518,1840020266,2
585,1840024628,1840017581,2
586,1840024623,1840018843,2
587,1840020355,1840021635,2
588,1124662863,1840018618,4
589,1840018843,1840018841,2
590,1840017581,1840018846,2
591,1840020354,1840021635,2
592,1840020245,1840018846,2
593,1840036690,1840028382,2
594,1840018841,1840017582,2
595,1840022490,1840017582,2
596,1840034826,1840018618,2
597,1840018844,1840028382,2
598,1840028382,1840017579,2
599,1840017582,1840018845,2
600,1840021635,1840020356,2
601,1840028364,1840021517,4
602,1840017579,1840017583,2
603,1840020233,1840020232,2
604,1840018846,1840018848,2
605,1840020266,1840020265,2
606,1840021517,1840028357,2
607,1840018618,1840020003,2
608,1840020247,1840020263,2
609,1840020263,1840028357,2
610,1840020231,1840020232,2
611,1840018845,1840017580,2
612,1840028357,1840028376,2
613,1840020248,1840017583,2
614,1840017580,1840017583,2
615,1840017583,1840018842,2
616,1840020232,1840021462,2
617,1840020356,1840020264,2
618,1840028376,1840020265,2
619,1840020265,1840020264,2
620,1840018842,1840020246,2
621,1840018848,1840010231,2
622,1840028313,1840028329,2
623,1840021462,1840017559,2
624,1840021212,1840019987,2
625,1840020003,1840019999,2
626,1840017559,1840020246,2
627,1840020290,1840074716,2
628,1840020246,1840020225,2
629,1840020360,1840018946,2
630,1840019987,1840019999,2
631,1840020264,1840018908,2
632,1840018908,1840020287,4
633,1840017806,1840019127,2
634,1840028390,1840010231,2
635,1840010231,1840017565,2
636,1840028329,1840017565,2
637,1840017553,1840020225,2
638,1840020225,1840017805,2
639,1840017565,1840028322,2
640,1840074716,1840036997,2
641,1840020288,1840020310,2
642,1840036997,1840018910,2
643,1840020287,1840018910,2
644,1840020262,1840020286,2
645,1840020310,1840074136,2
646,1840028322,1840020312,2
647,1840018910,1840017618,2
648,1840018851,1840020238,2
649,1840020286,1840020289,2
650,1840017618,1840020285,2
651,1840020285,1840018906,2
652,1840019999,1840019864,2
653,1840021533,1840018906,2
654,1840018867,1840020238,2
655,1840074136,1840018930,2
656,1840020415,1840018906,2
657,1124517495,1124550302,2
658,1840020289,1840021534,2
659,1840020312,1840018935,2
660,1840018829,1840018906,2
661,1840017805,1840020416,2
662,1840018906,1840018930,2
663,1840020238,1840020416,2
664,1124550302,1840021154,4
665,1840018930,1840020311,2
666,1840018852,1840020416,2
667,1840021534,1840020311,2
668,1840020311,1840018933,2
669,1840019127,1840019126,2
670,1840019126,1840074847,2
671,1840021734,1840020416,2
672,1840074847,1840020416,2
673,1840020416,1840020414,2
674,1840018935,1840020317,2
675,1840020414,1840018934,2
676,1840018933,1840018831,2
677,1840021348,1840018934,2
678,1840019123,1840020467,2
679,1840018934,1840020467,2
680,1840018831,1840018945,2
681,1840019125,1840019122,2
682,1840020467,1840019122,2
683,1840021154,1840021152,2
684,1840019841,1840021149,2
685,1840021149,1840018465,2
686,1840075835,1840020313,2
687,1840019122,1840021830,2
688,1840021152,1840018465,2
689,1840020313,1840019183,2
690,1840020468,1840019185,2
691,1840019185,1840019183,2
692,1840020317,1840020321,2
693,1840018465,1840021153,2
694,1840021830,1840019183,2
695,1840019183,1840021831,2
696,1840021153,1840019795,2
697,1840021511,1840018919,2
698,1840020321,1840021471,2
699,1124735582,1840019890,4
700,1840021074,1840019795,2
701,1840018945,1840028386,2
702,1840021151,1840021150,2
703,1840019795,1840019818,2
704,1124081402,1124440160,2
705,1840018919,1840018946,2
706,1840019186,1840019054,2
707,1840022462,1840018946,2
708,1840021831,1840075970,2
709,1840019054,1840018946,2
710,1840018946,1840076004,2
711,1840028386,1840020300,2
712,1840020300,1840020324,2
713,1840020324,1840033829,2
714,1840018369,1840019818,2
715,1840021150,1840019871,2
716,1840021471,1840018920,2
717,1840033824,1840001783,2
718,1840033809,1840076004,2
719,1840019871,1840019890,2
720,1840074319,1840018920,2
721,1840022292,1840019818,2
722,1840001783,1840017887,2
723,1840017887,1840021738,2
724,1840019818,1840021195,2
725,1840020121,1840020383,2
726,1840033785,1840020383,2
727,1840076004,1840020319,4
728,1840020383,1840019187,2
729,1840033829,1840033830,2
730,1840020319,1840033828,2
731,1840018711,1840017563,2
732,1840018920,1840018944,2
733,1840019890,1840019888,2
734,1840075970,1840020318,2
735,1840003826,1840033830,2
736,1840033828,1840017563,2
737,1840017563,1840033830,2
738,1124440160,1124070905,2
739,1840033830,1840033826,2
740,1840021829,1840020325,2
741,1840021337,1840018944,2
742,1840018944,1840020323,2
743,1124400731,1124613898,2
744,1840020318,1840019056,2
745,1840033826,1840019182,2
746,1840020382,1840021566,2
747,1840019182,1840020320,2
748,1840021567,1840021566,2
749,1124613898,1124070905,2
750,1124070905,1840019761,4
751,1840018796,1840019056,2
752,1840019056,1840021638,2
753,1840020325,1840020323,2
754,1840021566,1840020323,2
755,1840020323,1840020320,2
756,1840019813,1840019862,2
757,1840019761,1124713973,4
758,1840019187,1840019197,2
759,1124080626,1124001544,2
760,1124713973,1124001544,2
761,1840020320,1840019044,2
762,1840021736,1840019141,2
763,1124001544,1840019889,4
764,1840021168,1840019889,2
765,1840019044,1840019035,2
766,1840021738,1840020419,2
767,1840021638,1840021639,4
768,1840021639,1840020366,2
769,1840020322,1840019035,2
770,1840021195,1840019915,2
771,1840019889,1840019916,2
772,1840019035,1840019030,2
773,1840019030,1840026940,2
774,1840019915,1840019924,2
775,1840019197,1840020473,2
776,1840019817,1840019917,2
777,1124478865,1124001340,2
778,1124553338,1124000216,2
779,1840019032,1840019151,2
780,1840019151,1840020419,2
781,1124000216,1124001340,2
782,1840020473,1840037414,2
783,1840020419,1840021735,2
784,1840037414,1840020365,2
785,1124001340,1840017380,4
786,1840020366,1840026940,2
787,1840019141,1840021640,2
788,1840020475,1840017913,2
789,1840021735,1840021640,2
790,1840020214,1840017913,2
791,1840020474,1840017913,2
792,1840018481,1840019888,2
793,1840019862,1840018479,2
794,1840017913,1840019201,2
795,1840020365,1840020367,2
796,1840019888,1840017380,2
797,1840026940,1840019148,4
798,1840021640,1840020367,2
799,1840020367,1840020368,2
800,1840021842,1840019201,2
801,1840017380,1840018490,2
802,1840019148,1840019137,2
803,1840020368,1840017691,2
804,1840019201,1840019147,2
805,1840019137,1840017825,2
806,1840022493,1840019147,2
807,1840017691,1840017825,2
808,1840020471,1840020472,2
809,1840017825,1840019147,2
810,1840020472,1840021844,4
811,1840021844,1840037458,2
812,1840018479,1840021174,2
813,1840019147,1840022826,2
814,1840037458,1840021843,2
815,1840019917,1840019916,2
816,1124505481,1124817036,2
817,1840028310,1840021843,2
818,1840020191,1840019221,2
819,1840019198,1840019221,2
820,1840019221,1840019234,2
821,1840021843,1840019234,2
822,1840019234,1840025006,2
823,1840017809,1840017819,2
824,1840022826,1840076281,2
825,1840025006,1840021866,2
826,1840076281,1840021864,4
827,1840017819,1840021737,2
828,1840021864,1840021861,2
829,1840021866,1840017920,2
830,1840021737,1840019140,2
831,1840017920,1840019243,2
832,1840021861,1840020489,2
833,1840020491,1840019231,2
834,1840020481,1840020508,2
835,1840019231,1840028367,2
836,1840020503,1840074686,2
837,1840020496,1840020487,2
838,1840019243,1840028098,2
839,1840020487,1840028381,2
840,1840018955,1840028098,2
841,1840019916,1840018490,2
842,1840018490,1840021174,2
843,1840020509,1840020517,2
844,1840028381,1840074686,2
845,1840028098,1840074686,2
846,1840028367,1840020486,2
847,1840020508,1840020494,2
848,1840017923,1840019237,2
849,1840020517,1840028356,2
850,1840020494,1840020489,2
851,1840074686,1840019237,2
852,1840020486,1840028356,2
853,1840019237,1840028408,2
854,1840021873,1840028405,2
855,1840021174,1840019924,2
856,1840028356,1840020482,2
857,1840019233,1840020483,2
858,1840020489,1840028405,2
859,1840020482,1840028403,2
860,1840028403,1840028408,2
861,1840028408,1840028406,2
862,1840028405,1840019214,2
863,1840028406,1840019220,2
864,1840019214,1840019240,2
865,1840020483,1840020510,2
866,1840037057,1840019218,2
867,1840019220,1840019240,2
868,1840074182,1840020510,2
869,1840019240,1840028368,2
870,1840019218,1840019235,2
871,1840019235,1840020497,2
872,1840019210,1840020516,4
873,1840019140,1840020516,4
874,1840020492,1840021870,2
875,1840020510,1840017918,2
876,1840028368,1840020504,2
877,1840021870,1840019242,2
878,1840020497,1840019228,2
879,1840017917,1840020502,2
880,1840019242,1840019228,2
881,1840019228,1840019229,2
882,1840020516,1840020502,2
883,1840019206,1840020500,2
884,1840021868,1840020490,4
885,1840020490,1840020515,2
886,1840020504,1840019230,2
887,1840021871,1840019222,2
888,1840019229,1840019239,2
889,1840019239,1840020499,2
890,1840020505,1840017918,2
891,1840019222,1840021862,2
892,1840017918,1840021863,2
893,1840020500,1840019207,2
894,1840019245,1840019230,2
895,1840019230,1840020515,2
896,1840020515,1840019224,2
897,1840021863,1840028311,2
898,1840020499,1840020506,2
899,1840020502,1840076298,2
900,1840021862,1840028311,2
901,1840019207,1840020495,2
902,1840020506,1840074745,2
903,1840019924,1840021334,2
904,1840020501,1840021865,2
905,1840020495,1840021869,2
906,1840028311,1840028234,2
907,1840019224,1840019215,2
908,1840019320,1840020579,2
909,1840028234,1840019223,2
910,1840020485,1840019327,2
911,1840021965,1840020579,2
912,1840074745,1840021878,2
913,1840019215,1840020586,2
914,1840021865,1840019209,2
915,1840020579,1840019327,2
916,1840021872,1840019223,2
917,1840021867,1840019223,2
918,1840021869,1840020480,2
919,1840020586,1840019324,2
920,1840019327,1840021966,2
921,1840019223,1840028387,2
922,1840019209,1840021878,2
923,1840020480,1840028318,2
924,1840021878,1840017921,2
925,1840028387,1840043043,2
926,1840020512,1840019205,2
927,1840019324,1840021966,2
928,1840028318,1840028409,2
929,1840020578,1840020575,2
930,1840043043,1840020498,2
931,1840021969,1840025037,2
932,1840021966,1840020577,2
933,1840020498,1840019246,2
934,1840019205,1840020585,2
935,1840025037,1840020577,2
936,1840017921,1840020513,2
937,1840019227,1840028409,2
938,1840028409,1840020513,2
939,1840020577,1840020575,2
940,1840076298,1840017922,2
941,1840020513,1840019213,2
942,1840020575,1840019326,2
943,1840020585,1840020511,2
944,1840020511,1840019211,2
945,1840019246,1840019226,2
946,1840019213,1840021876,2
947,1840020576,1840020583,2
948,1840074687,1840017916,2
949,1840019326,1840020581,2
950,1840019226,1840017916,2
951,1840021876,1840019241,2
952,1840019208,1840019211,2
953,1840018361,1840018587,2
954,1840019211,1840019323,2
955,1840017916,1840019241,2
956,1840021964,1840021967,2
957,1840019241,1840017919,2
958,1840019149,1840021730,2
959,1840020581,1840019325,4
960,1840019323,1840020583,2
961,1840021875,1840019244,2
962,1840019322,1840020583,2
963,1840017919,1840021860,2
964,1840020583,1840021970,2
965,1840020484,1840021860,2
966,1840017922,1840025799,2
967,1840018587,1840018642,2
968,1840020582,1840021968,2
969,1840019244,1840020507,2
970,1840021967,1840019319,2
971,1840021968,1840019319,2
972,1840021860,1840020514,2
973,1840019319,1840019325,4
974,1840019325,1840020590,2
975,1840021970,1840019115,2
976,1840020514,1840019216,2
977,1840020507,1840020408,2
978,1840020587,1840019321,2
979,1840020590,1840019321,2
980,1840019321,1840020588,2
981,1840019115,1840019114,2
982,1840021334,1840019748,2
983,1840019216,1840021730,2
984,1124817036,1124379972,2
985,1840020589,1840021963,2
986,1840020588,1840020580,4
987,1840020408,1840021730,2
988,1840019328,1840021963,2
989,1840020591,1840020580,4
990,1124379972,1840019864,4
991,1840019114,1840020410,2
992,1840020417,1840020622,2
993,1840021730,1840020411,2
994,1840020580,1840136071,2
995,1840021963,1840028333,2
996,1840028333,1840136071,2
997,1840136071,1840028363,2
